question;choice1;choice2;choice3;choice4;answer
Jika bola sepak memiliki massa 450 gram dan ditendang sehingga berakselerasi 20 m/s², berapa besar gaya yang diterapkan pada bola?;9 Newton;18 Newton;12 Newton;15 Newton;9 Newton
Sebuah tim sepakbola mencetak gol sebagai berikut dalam 5 pertandingan: 2, 3, 3, 2, 4. Berapa modus dari jumlah gol yang dicetak?;3 gol;2 gol;4 gol;5 gol;2 gol
Jika lapangan sepakbola memiliki panjang 100 meter dan lebar 60 meter, berapa luasnya dalam meter persegi?;6000 m²;5000 m²;4000 m²;3000 m²;6000 m²
Dalam sebuah pertandingan sepakbola, suhu udara adalah 15°C. Jika permainan membuat suhu tubuh pemain naik hingga 38°C, berapa peningkatan suhu yang dialami pemain?;23°C;25°C;20°C;18°C;23°C
Seorang pemain sepakbola berlari dengan kecepatan rata-rata 8 km/jam selama 90 menit. Berapa jarak total yang ditempuh oleh pemain tersebut?;12 km;10 km;8 km;14 km;12 km
Sebuah tim sepakbola memiliki data berat pemain sebagai berikut: 70, 75, 70, 80, 85 kg. Berapa rata-rata berat pemain?;76 kg;78 kg;75 kg;80 kg;76 kg
Jika sebuah bola sepak dipompa hingga tekanan udara di dalamnya adalah 1.2 atmosfer dan suhu luar adalah 25°C, apa yang terjadi pada tekanan bola jika suhu naik menjadi 35°C tanpa ada perubahan volume?;Tekanan meningkat;Tekanan menurun;Tidak ada perubahan tekanan;Tekanan tidak dapat ditentukan;Tekanan meningkat
Dalam sebuah turnamen, 20 tim sepakbola masing-masing bermain satu pertandingan dengan tim lain. Berapa total pertandingan yang dimainkan?;190 pertandingan;180 pertandingan;200 pertandingan;210 pertandingan;190 pertandingan
Sebuah studi menemukan bahwa cedera pada pemain sepakbola paling sering terjadi di kaki. Jika ada 10 pemain yang cedera, dan 7 di antaranya mengalami cedera kaki, berapa persentase cedera yang terjadi di kaki?;70%;75%;80%;65%;70%
Jika kelembaban di lapangan sepakbola adalah 80% dan suhu adalah 30°C, apa yang mungkin terjadi terhadap kinerja pemain dari sudut pandang biologis?;Meningkatkan stamina;Mengurangi kelelahan;Meningkatkan kelelahan;Tidak berpengaruh;Meningkatkan kelelahan
